Product,ProductID,Price,Date,Quantity Sold,C Name,C Location,Region
Mobile Phone,88EB4558,78570,02-08-2023,6,William Hess,South Kelsey,Central
Laptop,416DFEEB,44613,03-10-2023,1,Larry Smith,North Lisa,South
Mobile Phone,9F975B08,159826,19-03-2025,5,Leah Copeland,South Todd,Central
Laptop,73D2A7CC,20911,06-02-2024,1,Dan Kirby,New Jordanmouth,South
Laptop,CCE0B80D,69832,10-08-2023,4,Dean Martin,Keithton,East
Laptop,10A5C53D,190474,19-03-2025,1,Monica Berry,West Heather,Central
Mobile Phone,14932CAE,11670,10-10-2023,6,Nicole Gonzalez,South Miguel,North
Laptop,D58FF785,15041,29-10-2023,1,Danielle Smith,North Travis,South
Laptop,4FC302CF,186647,27-09-2023,3,Kyle Brown,West Dakota,East
Mobile Phone,E3CF42BE,174698,09-02-2025,10,Miranda Clayton,North Deanna,North
Mobile Phone,F54013D6,51251,03-04-2023,9,Ms. Katie Anderson,Lake Laurenfort,North
Mobile Phone,38604169,179710,11-04-2024,8,Jennifer Taylor,Allenside,East
Mobile Phone,E1DA13C1,132370,23-04-2023,6,Steven Foster,Victorberg,West
Laptop,2744030A,195641,11-05-2023,10,Louis Young,New Kyletown,Central
Laptop,9F9A8BA9,121462,14-04-2023,1,Laura Martin,East Katherine,West
Mobile Phone,00A8F8A0,57148,27-11-2023,7,Cristian Briggs,Port Nicole,East
Mobile Phone,CF70EFC5,136094,09-06-2023,9,Douglas Bass,North Glennmouth,North
Mobile Phone,7FE9993A,89801,15-01-2025,9,Paul Stokes,Chapmanside,West
Mobile Phone,E7692916,54134,01-07-2024,4,Jonathan Morgan,Zacharyside,Central
Laptop,C215F637,138695,14-02-2025,8,Paula Sims,Lake Williamshire,West
Laptop,651469C2,168076,02-07-2023,8,Mr. James Harris,Rayville,South
Laptop,5931B97C,86089,27-10-2024,1,David Anderson,Masonmouth,West
Laptop,335BA5BE,185556,23-11-2023,8,Brian Baker,Maryville,Central
Laptop,7402DBC0,55049,14-09-2023,9,William Scott,Smithview,North
Laptop,552EAB5F,9395,27-02-2025,9,Megan Valenzuela,North Raymondtown,South
Mobile Phone,BF018999,132523,15-10-2023,6,William Wilson,Burtonhaven,West
Laptop,37D3F7F4,87053,14-09-2024,2,Dennis Taylor,Paulport,South
Laptop,4EBDFE31,29617,31-08-2024,10,Olivia Garcia,Thomasside,Central
Laptop,CF884218,133951,12-04-2024,2,Bruce Terry,Jeremyton,West
Laptop,9A61C658,11675,23-09-2023,6,Kyle Wright,Vaughanchester,South
Mobile Phone,C98F17CA,97112,11-12-2024,8,Evan Olson,South David,Central
Laptop,1C31DF4A,81871,03-03-2025,5,Jamie Ramirez,Lake Thomasshire,East
Laptop,BD6CC48B,28150,27-11-2024,5,Sarah Perez,New Jamiestad,Central
Mobile Phone,F13739FF,66535,18-12-2023,4,Nina Butler,Lake Aaron,South
Mobile Phone,BDAB9D30,104292,28-10-2023,8,Gary Williams,Mitchellton,North
Mobile Phone,B51BE37A,27749,06-03-2025,6,Nicole Wood,Ruiztown,West
Mobile Phone,26825C0F,161473,18-06-2024,4,Mr. Michael Taylor,Nortonland,West
Mobile Phone,9F8C2082,69287,16-10-2023,2,Max Harrison,South Elizabethchester,South
Mobile Phone,A957726E,97802,13-07-2023,7,Joel Turner,Craigborough,South
Mobile Phone,A692B6B2,107133,20-08-2024,9,Keith Smith,Jonesport,West
Mobile Phone,88EC2E27,7670,08-04-2024,5,Leslie Gomez,Anthonyhaven,North
Laptop,7289581E,88221,19-11-2024,8,Logan Grant,Parkerberg,Central
Laptop,3.39E+04,144051,02-02-2025,8,Michelle Mckinney,Alyssaburgh,South
Laptop,E83D4195,64073,13-11-2023,6,Joel Stevenson,Michellebury,Central
Laptop,29493FAA,149785,14-08-2024,3,Matthew Kennedy,South Ericaside,East
Laptop,6C6A51C8,153916,04-03-2024,4,Luke Adams,Josebury,North
Mobile Phone,98660CB1,67598,21-03-2024,7,Gregory Jones,East Scottport,North
Laptop,AEFEC66E,61230,07-07-2024,9,Ryan Lee,New Jessica,East
Mobile Phone,B6659342,9522,02-05-2024,3,Luis Snyder,West Kurt,Central
Mobile Phone,DD508DD0,59309,21-02-2024,9,Brian Avila,East Julia,Central
Mobile Phone,350528D5,154020,30-06-2023,3,Jesus Webster,West Jordan,Central
Laptop,ECFDD5AD,159254,19-08-2023,4,Diana Smith,Walkermouth,West
Laptop,F5B6B3D7,165298,03-06-2024,8,Diana Owens,New Jefferyfurt,North
Mobile Phone,33C9E127,89297,02-09-2024,4,Edward Torres,Jonesfort,West
Mobile Phone,1EFB4542,75366,02-04-2023,4,Amy Brown,North Lisa,Central
Laptop,BD867652,105696,17-02-2025,4,Ian Coleman,North Brian,West
Mobile Phone,7B6AD3FF,185287,12-08-2023,4,Ashley Mccoy,Mcculloughchester,West
Laptop,0E892823,124578,23-07-2023,5,Gabriel Guerra,Lake Codyborough,North
Laptop,B5960254,26317,19-01-2025,6,Kristin Rodriguez,Port Anthonyburgh,West
Mobile Phone,3FF7069B,150746,21-06-2024,4,Joseph Williams MD,Hernandezberg,West
Laptop,0F0C53FB,51818,17-10-2023,7,Laura Davis,Shermanstad,West
Laptop,F6DE94E0,148517,16-03-2024,1,Holly Morales,Chanville,East
Laptop,775C9D4A,111353,26-04-2023,5,Walter Levine,New Jasonchester,Central
Mobile Phone,FFAFAD2B,23100,05-07-2023,9,Michelle Gallagher,West Jesseton,North
Laptop,F9849F0C,136232,09-09-2023,3,Elizabeth Austin,East Alexanderside,North
Mobile Phone,1E7A5A03,86484,30-08-2023,4,Rebecca Daniels,Port Bonnie,Central
Laptop,DB6F5FEC,37405,13-08-2024,3,Johnny Rodriguez,Port Brian,West
Mobile Phone,D0EB2343,9270,18-08-2024,8,Daniel Marshall,Lake Sarahmouth,West
Laptop,D4B363CC,11902,11-06-2024,8,Dana Conner,Cabreraland,South
Laptop,D21FC96D,105601,23-11-2024,7,Jessica Kelly,New Alex,Central
Mobile Phone,D36FC48A,47154,16-05-2024,7,Diane Hernandez,Davidland,East
Mobile Phone,F916C29C,30976,14-09-2024,4,David Moss,Maysfurt,West
Laptop,B63BD722,44983,25-09-2023,7,Ryan Keith,Williammouth,North
Laptop,7A7D582C,57037,14-02-2024,9,Elizabeth Walker,Benjaminstad,Central
Mobile Phone,202F0160,140787,14-10-2024,10,Elizabeth Martinez,Lake Victoriaborough,West
Mobile Phone,71166CDE,91311,12-07-2024,9,Heather Williams,New Willie,South
Laptop,485A5C78,46989,21-07-2023,1,Cassandra Gray,Port Bethanystad,North
Mobile Phone,9C5B4B5D,79796,16-08-2024,4,Stefanie Cummings,North Matthew,Central
Laptop,D73F88BD,43683,03-10-2023,2,Larry Mcintyre,Port Edward,Central
Laptop,33009991,16400,11-09-2024,5,Robert Buchanan,Port Jaime,East
Laptop,02F432C7,98945,15-09-2024,9,David Wilson,New Carolyn,East
Laptop,FA8058CE,59820,11-08-2023,10,Jacob Craig,Townsendfurt,South
Mobile Phone,B8B7F759,186946,08-01-2025,1,Robin Clark,Jocelyntown,West
Laptop,0539DBE6,179263,14-12-2024,1,David Kerr,Jamesville,North
Mobile Phone,E1A031A2,56221,26-10-2023,8,Stephanie Miller,Nicolebury,East
Laptop,5FB42BDF,75700,10-02-2025,7,John Tran,Pattonfurt,Central
Mobile Phone,225E733B,49282,16-01-2024,2,Mary Bailey,South Laurieville,West
Laptop,D30F1287,170771,06-09-2024,8,Jason Townsend,Solisfort,West
Mobile Phone,268FC981,115800,19-10-2023,4,Stephanie Snyder,West Jimmytown,Central
Laptop,B5979456,166260,17-02-2024,8,Desiree Williams,Lindafort,North
Mobile Phone,1E646AC1,49902,18-04-2023,8,Teresa Powers,Robertburgh,West
Mobile Phone,7.50E+10,64818,09-08-2024,9,Brandon Lopez,Aguirreton,East
Mobile Phone,0C376DC0,66597,21-11-2024,10,Blake Fitzpatrick,New Sarafort,Central
Laptop,19CAFF55,122030,15-10-2023,6,Calvin James,North Albertmouth,South
Laptop,2E475456,150198,05-06-2023,10,Michelle Ruiz,Longside,West
Mobile Phone,06E841E7,170391,24-04-2023,2,Cole Roberson,West Amyshire,West
Laptop,EB21B3A6,11333,22-04-2024,7,Edward Smith,Delgadoburgh,West
Laptop,CED22D67,108235,15-04-2024,9,April Pena,Brandonfurt,Central
Laptop,B1538A92,134412,07-04-2024,2,David Evans,East Thomasburgh,North
Laptop,1C73DE0B,20799,06-08-2024,3,Christopher Mclaughlin,Stevenshire,East
Laptop,093C2823,172640,03-04-2023,10,Shawn Bryant,South Matthew,South
Mobile Phone,3F08E101,79563,19-06-2023,3,Caroline Patterson,Port Ericaland,Central
Laptop,6951D855,177532,16-06-2023,7,Rachel Gillespie,Hooperfurt,Central
Mobile Phone,80768EC6,149504,26-07-2024,9,Jamie Olson,East Justin,West
Mobile Phone,EEBD8464,139545,25-06-2023,6,Ebony Johnson,Santiagobury,West
Laptop,D193092F,146371,14-12-2024,9,Jennifer Lawrence,West Douglas,North
Laptop,4600D2A7,142648,23-07-2023,1,Diane Lawrence,South Barbara,East
Mobile Phone,B8AC59F5,188903,29-01-2025,4,Kenneth Freeman,Matthewsfort,East
Mobile Phone,5FC4B050,65505,26-06-2024,4,Nicholas Delgado MD,West Kellychester,South
Laptop,6B3805A1,108902,25-08-2024,5,David Jones,Justinstad,West
Mobile Phone,3747FE76,155702,27-08-2024,7,Ellen Rodriguez,New Michellemouth,Central
Mobile Phone,B1F6FCBC,58392,12-07-2024,1,Shane Gonzalez,Daughertytown,South
Mobile Phone,3206C312,115838,21-07-2024,3,Kristin Lang MD,Lake Amandaton,South
Laptop,5DA6F0DE,8877,21-09-2024,2,Carl Lewis,South Glennhaven,West
